0,1,2,3,4,5,6
دنا،,1394,دنده ای-معمولی,"176,000 کیلومتر",دنده ای,سفید,"430,000,000"
دنا،,1400,دنده ای-معمولی,"39,000 کیلومتر",دنده ای,سفید,"565,000,000"
دنا،,1398,دنده ای-معمولی,"105,000 کیلومتر",دنده ای,خاکستری,"498,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,"25,000 کیلومتر",اتوماتیک,سفید,"725,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"630,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"589,000,000"
دنا،,1398,دنده ای-معمولی,"67,000 کیلومتر",دنده ای,سفید,"515,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,مشکی,"760,000,000"
دنا،,1401,6 دنده توربو-پلاس,کارکرد صفر,دنده ای,سفید,"705,000,000"
دنا،,1399,دنده ای-معمولی,"28,000 کیلومتر",دنده ای,سفید,"530,000,000"
دنا،,1399,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,نقره ای,"625,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,خاکستری,"630,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,"4,700 کیلومتر",اتوماتیک,خاکستری,"730,000,000"
دنا،,1401,6 دنده توربو-پلاس,کارکرد صفر,دنده ای,سفید,"710,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,مشکی,"625,000,000"
دنا،,1397,دنده ای ساده-پلاس,"68,000 کیلومتر",دنده ای,خاکستری,"573,000,000"
دنا،,1398,دنده ای ساده-پلاس,"59,000 کیلومتر",دنده ای,خاکستری,"575,000,000"
دنا،,1400,اتوماتیک توربو-پلاس,"13,000 کیلومتر",اتوماتیک,مشکی,"702,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,"11,300 کیلومتر",اتوماتیک,سفید,"735,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,خاکستری,"750,000,000"
دنا،,1399,دنده ای ساده-پلاس,"30,000 کیلومتر",دنده ای,مشکی,"575,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,"13,000 کیلومتر",اتوماتیک,سفید,"725,000,000"
دنا،,1399,دنده ای-معمولی,"28,800 کیلومتر",دنده ای,مشکی,"545,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"750,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,"7,500 کیلومتر",اتوماتیک,سفید,"750,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"605,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"630,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,خاکستری,"765,000,000"
دنا،,1400,اتوماتیک توربو-پلاس,"51,000 کیلومتر",اتوماتیک,مشکی,"670,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"750,000,000"
دنا،,1400,دنده ای ساده-پلاس,"31,000 کیلومتر",دنده ای,سفید,"585,000,000"
دنا،,1400,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"745,000,000"
دنا،,1400,اتوماتیک توربو-پلاس,"20,000 کیلومتر",اتوماتیک,خاکستری,"690,000,000"
دنا،,1400,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"739,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"605,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"765,000,000"
دنا،,1397,دنده ای ساده-پلاس,کارکرده,دنده ای,سفید,"590,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"625,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,مشکی,"623,000,000"
دنا،,1398,دنده ای-معمولی,"29,000 کیلومتر",دنده ای,سفید,"529,000,000"
دنا،,1395,دنده ای-معمولی,"109,000 کیلومتر",دنده ای,سفید,"460,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,مشکی,"615,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"760,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"760,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"605,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,"4,600 کیلومتر",اتوماتیک,سفید,"775,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"610,000,000"
دنا،,1394,دنده ای-معمولی,"122,000 کیلومتر",دنده ای,مشکی,"430,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,"13,800 کیلومتر",اتوماتیک,سفید,"728,000,000"
دنا،,1398,دنده ای-معمولی,"57,000 کیلومتر",دنده ای,سفید,"520,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"618,000,000"
دنا،,1397,دنده ای ساده-پلاس,"90,000 کیلومتر",دنده ای,سفید,"560,000,000"
دنا،,1398,دنده ای-معمولی,"41,000 کیلومتر",دنده ای,سفید,"520,000,000"
دنا،,1396,دنده ای-معمولی,"20,000 کیلومتر",دنده ای,سفید,"520,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,خاکستری,"750,000,000"
دنا،,1401,5 دنده توربو-پلاس,کارکرد صفر,دنده ای,سفید,"650,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"630,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"750,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,مشکی,"750,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,مشکی,"609,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,مشکی,"650,000,000"
دنا،,1398,دنده ای ساده-پلاس,"55,000 کیلومتر",دنده ای,سفید,"553,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,مشکی,"635,000,000"
دنا،,1400,اتوماتیک توربو-پلاس,"65,000 کیلومتر",اتوماتیک,مشکی,"685,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"750,000,000"
دنا،,1399,دنده ای-معمولی,"26,500 کیلومتر",دنده ای,نوک مدادی,"540,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"750,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"640,000,000"
دنا،,1397,دنده ای-معمولی,"85,000 کیلومتر",دنده ای,سفید,"470,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,"9,000 کیلومتر",اتوماتیک,مشکی,"730,000,000"
دنا،,1401,دنده ای-معمولی,کارکرد صفر,دنده ای,سفید,"630,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,نوک مدادی,"745,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,"8,000 کیلومتر",اتوماتیک,سفید,"720,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,مشکی,"755,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"650,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,مشکی,"755,000,000"
دنا،,1399,دنده ای ساده-پلاس,"11,000 کیلومتر",دنده ای,سفید,"610,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"760,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,"14,000 کیلومتر",اتوماتیک,مشکی,"720,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,مشکی,"753,000,000"
دنا،,1401,6 دنده توربو-پلاس,کارکرد صفر,دنده ای,مشکی,"715,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"600,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,سفید,"635,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,مشکی,"750,000,000"
دنا،,1401,5 دنده توربو-پلاس,کارکرد صفر,دنده ای,سفید,"670,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,مشکی,"770,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"755,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,مشکی,"760,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,کارکرد صفر,اتوماتیک,سفید,"764,000,000"
دنا،,1398,دنده ای ساده-پلاس,"47,000 کیلومتر",دنده ای,سفید,"550,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,"17,000 کیلومتر",اتوماتیک,سفید,"735,000,000"
دنا،,1399,دنده ای-معمولی,"17,800 کیلومتر",دنده ای,سفید,"557,000,000"
دنا،,1401,اتوماتیک توربو-پلاس,"10,000 کیلومتر",اتوماتیک,سفید,"730,000,000"
دنا،,1401,دنده ای ساده-پلاس,کارکرد صفر,دنده ای,مشکی,"660,000,000"
دنا،,1399,دنده ای ساده-پلاس,"32,000 کیلومتر",دنده ای,خاکستری,"575,000,000"
دنا،,1399,دنده ای ساده-پلاس,"40,000 کیلومتر",دنده ای,مشکی,"595,000,000"
دنا،,1398,دنده ای-معمولی,"57,000 کیلومتر",دنده ای,سفید,"505,000,000"
دنا،,1400,اتوماتیک توربو-پلاس,"6,580 کیلومتر",اتوماتیک,خاکستری,"695,000,000"
